G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
70,Sun Mar 24 2013,2:00p EST,,Box Score,@,Milwaukee Bucks,W,,104,99,39,31,W 1,,False,
71,Mon Mar 25 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,94,100,39,32,L 1,,False,
72,Wed Mar 27 2013,7:00p EST,,Box Score,@,Toronto Raptors,W,,107,88,40,32,W 1,,False,
73,Fri Mar 29 2013,7:30p EST,,Box Score,@,Boston Celtics,L,,107,118,40,33,L 1,,False,
74,Sat Mar 30 2013,7:00p EST,,Box Score,,Orlando Magic,W,,97,88,41,33,W 1,,False,
75,Mon Apr 1 2013,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,102,94,42,33,W 2,,False,
76,Wed Apr 3 2013,7:00p EST,,Box Score,,New York Knicks,L,,82,95,42,34,L 1,,False,
77,Fri Apr 5 2013,7:30p EST,,Box Score,,Philadelphia 76ers,L,,90,101,42,35,L 2,,False,
78,Sat Apr 6 2013,7:30p EST,,Box Score,@,San Antonio Spurs,L,,97,99,42,36,L 3,,False,
79,Wed Apr 10 2013,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,124,101,43,36,W 1,,False,
80,Fri Apr 12 2013,7:30p EST,,Box Score,,Milwaukee Bucks,W,,109,104,44,36,W 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,False,
81,Tue Apr 16 2013,8:00p EST,,Box Score,,Toronto Raptors,L,,96,113,44,37,L 1,,False,
82,Wed Apr 17 2013,8:00p EST,,Box Score,@,New York Knicks,L,,92,98,44,38,L 2,,False,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes,True,
1,Sun Apr 21 2013,,,Box Score,@,Indiana Pacers,L,,90,107,0,1,L 1,,True,
2,Wed Apr 24 2013,,,Box Score,@,Indiana Pacers,L,,98,113,0,2,L 2,,True,
3,Sat Apr 27 2013,,,Box Score,,Indiana Pacers,W,,90,69,1,2,W 1,,True,
4,Mon Apr 29 2013,,,Box Score,,Indiana Pacers,W,,102,91,2,2,W 2,,True,
5,Wed May 1 2013,,,Box Score,@,Indiana Pacers,L,,83,106,2,3,L 1,,True,
6,Fri May 3 2013,,,Box Score,,Indiana Pacers,L,,73,81,2,4,L 2,,True,
